type,node_id,parent_id,planet_id,depth,size,x,y,z,r,g,b,image_id
node,0_node_2314,0_node_2312,0,5,5,-1.3256760835647583,9.030654907226562,1.4214407205581665,0.3058823529411765,0.3215686274509804,0.27058823529411763,
node,0_node_2315,0_node_2312,0,5,14,-1.4172385931015015,9.109397888183594,1.3364801406860352,0.44313725490196076,0.4392156862745098,0.3411764705882353,
node,0_node_2316,0_node_2315,0,6,9,-1.4218566417694092,9.137798309326172,1.3629578351974487,0.4235294117647059,0.43137254901960786,0.3803921568627451,
node,0_node_2317,0_node_2315,0,6,5,-1.408926010131836,9.058277130126953,1.2888203859329224,0.47058823529411764,0.4549019607843137,0.26666666666666666,
node,0_node_2318,0_node_2307.0_grp_147,0,2,5,-1.8842540979385376,8.724225044250488,1.687536597251892,0.17647058823529413,0.20784313725490197,0.16470588235294117,
node,0_node_2319,0_node_2307.0_grp_147,0,2,6,-1.7392983436584473,8.803925514221191,1.7604914903640747,0.2196078431372549,0.23921568627450981,0.19215686274509805,
node,0_node_2320,0_node_2313.0_grp_149,0,2,24,-1.9679583311080933,9.488024711608887,2.0510571002960205,0.28627450980392155,0.36470588235294116,0.1607843137254902,
node,0_node_2321,0_node_2313.0_grp_149,0,2,5,-1.5878243446350098,9.623398780822754,1.3394218683242798,0.3686274509803922,0.34901960784313724,0.2784313725490196,
node,0_node_2247.0_grp_33,planet_0,0,1,34,-1.8979904651641846,9.3719482421875,1.7544666528701782,0.33725490196078434,0.33725490196078434,0.22745098039215686,
node,0_node_2323,0_node_2321,0,3,18,-1.6478112936019897,9.367450714111328,1.9348127841949463,0.3137254901960784,0.34509803921568627,0.23137254901960785,
node,0_node_2324,0_node_2323,0,4,7,-1.487540602684021,9.088984489440918,2.5877797603607178,0.3137254901960784,0.3411764705882353,0.23921568627450981,
node,0_node_2325,0_node_2323,0,4,11,-1.7498016357421875,9.544656753540039,1.5192883014678955,0.3176470588235294,0.34901960784313724,0.22745098039215686,
node,0_node_2329,0_node_2324.0_grp_155,0,3,13,-1.2220373153686523,9.108028411865234,2.5975239276885986,0.3058823529411765,0.3333333333333333,0.22745098039215686,
